Proposal code,Origin period season sequence,Period,Rabobank Region,Crop,Crop Naics code,Crop naics descripion,Area,Noise1,Noise2,Noise3,Yield,Cost,Price,Financial information sequence,Last update,Esport date and time
65,4,7/16/2021,Barreiras,Cebola Sequeiro,45,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante,3736,-0.7,2.37,-0.91,151800.0,84760.0,-418.0,10/16/2020,7/4/2021,6/1/2021
66,1,11/25/2020,Barreiras,Abobora Irrigada,36,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,9820,-0.93,2.76,1.17,444500.0,153400.0,683.0,6/15/2021,2/28/2021,5/29/2021
67,0,7/11/2021,Barreiras,Abobora Irrigada,82,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,6939,-0.53,1.16,0.71,320450.0,92590.0,424.0,6/25/2021,6/17/2021,7/16/2021
68,2,9/10/2020,Barreiras,Melancia irrigada,139,ipsum aliquam non mauris morbi non lectus aliquam sit amet,3758,-0.87,1.49,0.72,144400.0,67380.0,397.0,7/10/2021,8/29/2021,5/2/2021
69,1,4/2/2021,Barreiras,Cebola Sequeiro,33,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,4376,1.96,0.8,0.65,316800.0,59760.0,368.0,2/21/2021,5/16/2021,3/7/2021
70,1,4/16/2021,Barreiras,Abobora Irrigada,4,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,169,1.79,0.15,1.05,97950.0,4690.0,526.0,2/24/2021,10/11/2020,7/25/2021
71,0,2/9/2021,Barreiras,Melancia irrigada,131,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,1714,-0.51,-1.37,-3.53,60200.0,-10260.0,-1748.0,12/20/2020,1/22/2021,1/22/2021
72,1,5/3/2021,Barreiras,Abobora Irrigada,78,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,3886,0.99,-0.01,1.0,243800.0,38660.0,538.0,9/27/2020,5/22/2021,4/20/2021
73,4,11/6/2020,Barreiras,Abobora Irrigada,68,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,9783,-2.45,-0.18,0.37,366650.0,94230.0,282.0,10/4/2020,7/23/2021,8/13/2021
74,4,3/30/2021,Barreiras,Melancia irrigada,125,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,1910,-0.33,-0.45,-1.64,79000.0,10100.0,-801.0,10/30/2020,3/26/2021,7/24/2021
75,2,7/3/2021,Barreiras,Melancia irrigada,116,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,2280,-0.39,1.05,0.26,94500.0,43800.0,152.0,6/24/2021,7/21/2021,6/10/2021
76,1,6/4/2021,Barreiras,Melancia irrigada,71,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,9238,0.35,-1.26,-0.03,479400.0,67180.0,77.0,8/30/2021,2/28/2021,3/17/2021
77,2,9/20/2021,Barreiras,Abobora Irrigada,144,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,183,0.4,-0.69,0.97,29150.0,-11970.0,486.0,11/9/2020,2/26/2021,9/9/2021
78,4,5/19/2021,Barreiras,Melancia irrigada,56,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,3022,0.16,-0.41,1.01,159100.0,22020.0,535.0,5/21/2021,11/26/2020,10/17/2020
79,3,2/25/2021,Barreiras,Melancia irrigada,98,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,7871,-0.29,-0.17,0.01,379050.0,75310.0,83.0,4/14/2021,7/30/2021,4/15/2021
80,0,9/23/2020,Barreiras,Abobora Irrigada,84,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,5349,-1.02,2.14,-0.8,216450.0,96290.0,-347.0,2/5/2021,8/28/2021,1/6/2021
81,3,4/19/2021,Barreiras,Melancia irrigada,76,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,9589,0.19,1.19,0.89,488950.0,119690.0,540.0,10/4/2020,8/8/2021,9/20/2020
82,0,2/5/2021,Barreiras,Cebola Sequeiro,41,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,3743,-0.77,-1.39,-0.38,148650.0,9630.0,-153.0,7/15/2021,3/23/2021,7/16/2021
83,0,9/10/2020,Barreiras,Melancia irrigada,108,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,332,0.11,0.42,1.55,22100.0,11720.0,778.0,12/16/2020,2/23/2021,2/14/2021
84,4,9/8/2020,Barreiras,Melancia irrigada,135,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,8465,1.16,-0.04,-2.27,481250.0,83850.0,-1051.0,9/28/2020,10/10/2020,3/4/2021
85,1,4/29/2021,Barreiras,Cebola Sequeiro,76,condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,2554,-0.21,0.59,2.2,117200.0,37340.0,1125.0,7/31/2021,9/2/2021,8/11/2021
86,0,6/6/2021,Barreiras,Cebola Sequeiro,73,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,1026,0.87,1.53,1.13,94800.0,40860.0,575.0,1/12/2021,1/7/2021,4/7/2021
87,0,7/15/2021,Barreiras,Melancia irrigada,10,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,5953,-0.82,-0.18,0.89,256650.0,55930.0,504.0,5/15/2021,6/5/2021,7/11/2021
88,2,9/2/2020,Barreiras,Melancia irrigada,129,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,8464,-1.1,-0.98,-0.77,368200.0,65040.0,-301.0,12/2/2020,2/13/2021,6/10/2021
89,1,9/10/2020,Barreiras,Melancia irrigada,41,risus dapibus augue vel accumsan tellus nisi eu orci mauris,2705,-0.47,-0.99,-0.63,111750.0,7250.0,-288.0,5/12/2021,1/25/2021,6/22/2021
90,3,5/17/2021,Barreiras,Cebola Sequeiro,126,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,5338,-0.62,-0.36,1.43,235900.0,46180.0,768.0,3/29/2021,9/10/2021,8/16/2021
91,4,3/16/2021,Barreiras,Melancia irrigada,100,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,2832,0.57,-0.49,1.36,170100.0,18520.0,708.0,7/27/2021,3/1/2021,9/11/2021
92,4,11/29/2020,Barreiras,Abobora Irrigada,58,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,702,-1.35,-0.19,-0.69,-32400.0,3220.0,-338.0,8/13/2021,1/15/2021,12/21/2020
93,2,5/1/2021,Barreiras,Abobora Irrigada,35,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,9545,1.73,2.7,0.91,563750.0,149450.0,550.0,8/8/2021,9/16/2020,11/10/2020
94,2,6/14/2021,Barreiras,Melancia irrigada,12,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,5746,0.16,0.07,0.67,295300.0,58860.0,392.0,12/8/2020,11/1/2020,12/30/2020
95,1,11/22/2020,Barreiras,Melancia irrigada,105,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,6373,-0.04,1.94,-0.92,316650.0,102530.0,-397.0,8/14/2021,12/17/2020,5/8/2021
96,4,8/2/2021,Barreiras,Cebola Sequeiro,35,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,7584,-0.33,-1.83,0.86,362700.0,39240.0,505.0,2/24/2021,10/21/2020,5/13/2021
97,2,5/29/2021,Barreiras,Cebola Sequeiro,107,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,1385,0.02,0.3,-0.14,70250.0,19850.0,-57.0,2/6/2021,3/30/2021,9/17/2020
98,4,2/1/2021,Barreiras,Melancia irrigada,9,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,3328,1.36,0.06,-0.71,234400.0,34480.0,-322.0,6/2/2021,9/7/2021,3/17/2021
99,2,8/20/2021,Barreiras,Cebola Sequeiro,67,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,4736,-0.48,0.38,0.64,212800.0,54960.0,367.0,7/18/2021,8/6/2021,12/16/2020
100,1,3/17/2021,Barreiras,Melancia irrigada,98,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,3681,1.09,-0.77,-0.55,238550.0,21410.0,-239.0,1/7/2021,6/7/2021,4/3/2021
101,4,6/17/2021,Barreiras,Cebola Sequeiro,49,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,196,-0.46,1.0,0.46,-13200.0,21960.0,231.0,6/10/2021,7/12/2021,6/4/2021
102,1,11/25/2020,Barreiras,Abobora Irrigada,95,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,8681,-0.47,-0.19,-0.61,410550.0,83010.0,-219.0,6/30/2021,7/8/2021,8/27/2021
103,3,6/7/2021,Barreiras,Cebola Sequeiro,129,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,1042,-0.24,-0.31,-0.19,40100.0,4220.0,-85.0,4/12/2021,4/21/2021,7/23/2021
104,4,2/22/2021,Barreiras,Melancia irrigada,42,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,3336,-0.12,0.42,0.88,160800.0,41760.0,473.0,5/19/2021,1/14/2021,10/16/2020
105,3,2/1/2021,Barreiras,Melancia irrigada,37,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,1759,-1.38,0.56,0.23,18950.0,28790.0,132.0,6/21/2021,6/15/2021,3/18/2021
106,3,1/27/2021,Barreiras,Abobora Irrigada,65,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,7893,-0.87,0.51,-0.57,351150.0,89130.0,-207.0,3/16/2021,11/10/2020,3/11/2021
107,0,3/4/2021,Barreiras,Melancia irrigada,48,nam dui proin leo odio porttitor id consequat in consequat ut nulla,7707,0.52,1.06,0.1,411350.0,98270.0,127.0,2/15/2021,12/31/2020,6/20/2021
108,4,9/14/2021,Barreiras,Melancia irrigada,135,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,1543,-1.16,-1.92,0.25,19150.0,-22970.0,140.0,12/2/2020,4/17/2021,8/16/2021
109,3,9/4/2021,Barreiras,Melancia irrigada,44,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,6404,1.54,0.16,-0.35,397200.0,67240.0,-111.0,8/26/2021,3/6/2021,7/14/2021
110,3,1/4/2021,Barreiras,Cebola Sequeiro,75,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,9831,1.91,1.0,1.06,587050.0,118310.0,628.0,4/25/2021,3/3/2021,11/6/2020
111,1,10/29/2020,Barreiras,Abobora Irrigada,67,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,4863,0.16,-0.17,-0.59,251150.0,45230.0,-247.0,5/6/2021,2/12/2021,9/5/2021
